"sep=;"
"Part";"Value";"Device";"Package";"Description";"";
"C1";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"DOWN-BUTTON";"6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.2MM-TALL";"TACTILE_SWITCH_SMD_6.2MM_TALL";"Momentary Switch (Pushbutton) - SPST";"";
"IR";"";"TSOP382*";"TSOP382**-VERTICAL";"TSOP38230, TSOP38233, TSOP38236, TSOP38238, TSOP38240, TSOP38256";"";
"J1";"";"CONN_06LOCK";"1X06_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J2";"RA 6Pin SMD";"CONN_06SMD";"1X06-SMD_RA_MALE";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"LIGHT-BUTTON";"6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.2MM-TALL";"TACTILE_SWITCH_SMD_6.2MM_TALL";"Momentary Switch (Pushbutton) - SPST";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"33K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"33K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"33K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R10";"10kΩ";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"10kΩ";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"STOP-BUTTON";"6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.2MM-TALL";"TACTILE_SWITCH_SMD_6.2MM_TALL";"Momentary Switch (Pushbutton) - SPST";"";
"UP-BUTTON";"6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.2MM-TALL";"TACTILE_SWITCH_SMD_6.2MM_TALL";"Momentary Switch (Pushbutton) - SPST";"";
"X1";"";"ESP-12";"ESP-12";"";"";
